GENE	CHR	START	END	GENEID
PLEKHA7	11	16799842	17035990	ENSG00000166689
HTR3A	11	113845603	113861035	ENSG00000166736
NNMT	11	114128509	114184007	ENSG00000166741
SAAL1	11	18091482	18127638	ENSG00000166788
YPEL4	11	57412560	57417417	ENSG00000166793
LDHC	11	18433854	18473605	ENSG00000166796
LDHAL6A	11	18477371	18501147	ENSG00000166800
FAM111A	11	58910221	58922512	ENSG00000166801
NAV2	11	19372271	20143144	ENSG00000166833
GLYATL1	11	58672871	58811000	ENSG00000166840
GPR182	12	57388230	57390468	ENSG00000166856
ZBTB39	12	57392618	57400230	ENSG00000166860
TAC3	12	57403784	57422667	ENSG00000166863
MYO1A	12	57422301	57444982	ENSG00000166866
TMEM194A	12	57449426	57481846	ENSG00000166881
NAB2	12	57482677	57489259	ENSG00000166886
STAT6	12	57489191	57525922	ENSG00000166888
PATL1	11	59404189	59436453	ENSG00000166889
XRCC6BP1	12	58335324	58351052	ENSG00000166896
STX3	11	59480929	59573354	ENSG00000166900
MRPL16	11	59573608	59578345	ENSG00000166902
PIP4K2C	12	57984957	57997198	ENSG00000166908
MS4A6E	11	60102304	60164069	ENSG00000166926
MS4A7	11	60145955	60163424	ENSG00000166927
MS4A14	11	60146003	60185161	ENSG00000166928
MARS	12	57869228	57911352	ENSG00000166986
MBD6	12	57914493	57923931	ENSG00000166987
NKX3-1	8	23536206	23540440	ENSG00000167034
PBX3	9	128509624	128729656	ENSG00000167081
TTC16	9	130478345	130493879	ENSG00000167094
PIP5KL1	9	130683158	130693076	ENSG00000167103
FAM102A	9	130702858	130742792	ENSG00000167106
GOLGA2	9	131018108	131038274	ENSG00000167110
TRUB2	9	131071382	131085021	ENSG00000167112
COQ4	9	131084815	131096351	ENSG00000167113
SLC27A4	9	131102925	131123749	ENSG00000167114
URM1	9	131133598	131153015	ENSG00000167118
CERCAM	9	131174030	131199626	ENSG00000167123
DOLPP1	9	131843379	131852717	ENSG00000167130
ENDOG	9	131580753	131584956	ENSG00000167136
IGF2	11	2150342	2170833	ENSG00000167244
RNF214	11	117103341	117157161	ENSG00000167257
ATP5L	11	118271869	118302211	ENSG00000167283
CD3D	11	118209669	118213459	ENSG00000167286
STIM1	11	3875757	4114439	ENSG00000167323
RRM1	11	4115937	4160106	ENSG00000167325
OR51E2	11	4701401	4719084	ENSG00000167332
TRIM68	11	4619902	4629489	ENSG00000167333
MMP26	11	4726157	5013659	ENSG00000167346
OR51Q1	11	5443341	5444436	ENSG00000167360
ZNF641	12	48733791	48745197	ENSG00000167528
CACNB3	12	49207577	49222724	ENSG00000167535
KMT2D	12	49412758	49453557	ENSG00000167548
RHEBL1	12	49458468	49463808	ENSG00000167550
TUBA1A	12	49578579	49583107	ENSG00000167552
TUBA1C	12	49582519	49667114	ENSG00000167553
NCKAP5L	12	50184929	50222533	ENSG00000167566
GPD1	12	50497602	50505102	ENSG00000167588
ANKRD33	12	52281744	52285448	ENSG00000167612
TRAPPC9	8	140742586	141468678	ENSG00000167632
PSCA	8	143751726	143764142	ENSG00000167653
LY6D	8	143866296	143868008	ENSG00000167656
MFSD3	8	145734457	145736596	ENSG00000167700
GPT	8	145728356	145732557	ENSG00000167701
KIFC2	8	145691426	145699585	ENSG00000167702
KRT80	12	52562780	52585784	ENSG00000167767
KRT1	12	53068520	53074191	ENSG00000167768
OTUB1	11	63753325	63769283	ENSG00000167770
RCOR2	11	63678693	63684316	ENSG00000167771
SPRYD3	12	53458388	53473204	ENSG00000167778
IGFBP6	12	53491220	53496129	ENSG00000167779
SOAT2	12	53497302	53518322	ENSG00000167780
NDUFV1	11	67374323	67380006	ENSG00000167792
CDK2AP2	11	67273968	67276120	ENSG00000167797
NUDT8	11	67395409	67397401	ENSG00000167799
TMEM68	8	56608983	56685966	ENSG00000167904
	8	60031599	60033905	ENSG00000167912
SDHAF2	11	61197514	61215001	ENSG00000167985
DDB1	11	61066923	61110068	ENSG00000167986
VPS37C	11	60897728	60929089	ENSG00000167987
VWCE	11	61025762	61062896	ENSG00000167992
RAB3IL1	11	61664773	61687741	ENSG00000167994
BEST1	11	61717293	61732987	ENSG00000167995
FTH1	11	61727190	61735132	ENSG00000167996
BSCL2	11	62457747	62477317	ENSG00000168000
POLR2G	11	62529016	62534182	ENSG00000168002
SLC3A2	11	62623518	62656352	ENSG00000168003
HRASLS5	11	63228876	63258666	ENSG00000168004
C11orf84	11	63580860	63595190	ENSG00000168005
ATG16L2	11	72525353	72554719	ENSG00000168010
C2CD3	11	73723763	73882255	ENSG00000168014
FADD	11	70049269	70053496	ENSG00000168040
LTBP3	11	65306276	65326401	ENSG00000168056
NAALADL1	11	64812290	64826021	ENSG00000168060
SAC3D1	11	64808373	64812300	ENSG00000168061
BATF2	11	64755415	64764517	ENSG00000168062
SF1	11	64532078	64546258	ENSG00000168066
MAP4K2	11	64556290	64570713	ENSG00000168067
C11orf85	11	64704989	64739557	ENSG00000168070
CCDC88B	11	64107695	64125006	ENSG00000168071
SCARA3	8	27491385	27534293	ENSG00000168077
PBK	8	27667137	27695612	ENSG00000168078
SCARA5	8	27727399	27850244	ENSG00000168079
PNOC	8	28174503	28200872	ENSG00000168081
PAFAH1B2	11	117014983	117047610	ENSG00000168092
HOOK3	8	42752075	42885682	ENSG00000168172
DDIT4	10	74033678	74035794	ENSG00000168209
BMI1	10	22610140	22620413	ENSG00000168283
PCMTD1	8	52730140	52811735	ENSG00000168300
STIP1	11	63952744	63972015	ENSG00000168439
REEP4	8	21995533	21999464	ENSG00000168476
SFTPC	8	22014426	22021992	ENSG00000168484
BMP1	8	22022249	22069839	ENSG00000168487
PHYHIP	8	22077222	22089854	ENSG00000168490
POLR3D	8	22102617	22112113	ENSG00000168495
FEN1	11	61560109	61564716	ENSG00000168496
FNTA	8	42889337	42940931	ENSG00000168522
GFRA2	8	21547915	21669869	ENSG00000168546
TMEM223	11	62539101	62559493	ENSG00000168569
SLC20A2	8	42273993	42397069	ENSG00000168575
ADAM9	8	38854388	38962663	ENSG00000168615
FAM84B	8	127564687	127570638	ENSG00000168672
ZBTB5	9	37438111	37465396	ENSG00000168795
ANKRD49	11	94226795	94232749	ENSG00000168876
ENHO	9	34521038	34523039	ENSG00000168913
ROR2	9	94325373	94712444	ENSG00000169071
C8orf46	8	67372238	67430759	ENSG00000169085
FAM110B	8	58907068	59116838	ENSG00000169122
AFAP1L2	10	116054583	116164515	ENSG00000169129
UBE2V2	8	48920960	48977268	ENSG00000169139
ZBTB43	9	129567285	129600489	ENSG00000169155
PTK2	8	141667999	142012315	ENSG00000169398
SDC2	8	97505579	97624000	ENSG00000169439
TM2D2	8	38846327	38854343	ENSG00000169490
HTRA4	8	38831683	38846181	ENSG00000169495
PLEKHA2	8	38758753	38831428	ENSG00000169499
METTL15	11	28129795	28355054	ENSG00000169519
CLIC3	9	139889087	139891255	ENSG00000169583
AGPAT2	9	139567595	139581875	ENSG00000169692
ZNF32	10	44139307	44144304	ENSG00000169740
HNRNPF	10	43881065	43904614	ENSG00000169813
CSGALNACT2	10	43633934	43680756	ENSG00000169826
WNT10B	12	49359123	49365546	ENSG00000169884
BRD3	9	136895427	136933657	ENSG00000169925
FOXD4	9	116237	118417	ENSG00000170122
SIK2	11	111473115	111601577	ENSG00000170145
	9	66553273	66555928	ENSG00000170161
ANKK1	11	113258513	113271140	ENSG00000170209
USP47	11	11862970	11980870	ENSG00000170242
ZNF212	7	148936742	148952700	ENSG00000170260
ZNF282	7	148892577	148923339	ENSG00000170265
SLN	11	107578104	107590419	ENSG00000170290
CDK1	10	62538089	62554610	ENSG00000170312
NFRKB	11	129733531	129765485	ENSG00000170322
FABP4	8	82390654	82395498	ENSG00000170323
PRDM10	11	129769601	129872730	ENSG00000170325
KRT8	12	53290977	53343738	ENSG00000170421
KRT78	12	53231588	53242876	ENSG00000170423
MGMT	10	131265448	131566271	ENSG00000170430
METTL7B	12	56075330	56078395	ENSG00000170439
KRT86	12	52643084	52702947	ENSG00000170442
DENND5B	12	31535157	31744031	ENSG00000170456
KRT6C	12	52862300	52867569	ENSG00000170465
WIBG	12	56295197	56326402	ENSG00000170473
KRT4	12	53200333	53208335	ENSG00000170477
KRT74	12	52959566	52967609	ENSG00000170484
KRT72	12	52979373	52995322	ENSG00000170486
PA2G4	12	56498103	56507691	ENSG00000170515
PFKFB3	10	6186881	6277495	ENSG00000170525
SMAGP	12	51638342	51664674	ENSG00000170545
STAT2	12	56735381	56753939	ENSG00000170581
COMMD5	8	146066427	146079121	ENSG00000170619
GTSF1	12	54849734	54867386	ENSG00000170627
ZNF16	8	146155744	146176274	ENSG00000170631
TMEM133	11	100862811	100864663	ENSG00000170647
ATF7	12	53901640	54020199	ENSG00000170653
BOP1	8	145486055	145515082	ENSG00000170727
KIF5B	10	32297938	32345359	ENSG00000170759
SDR16C5	8	57212569	57233335	ENSG00000170786
CHCHD7	8	57124245	57131357	ENSG00000170791
CEL	9	135937365	135947248	ENSG00000170835
MTSS1	8	125563031	125740730	ENSG00000170873
RNF139	8	125486979	125500155	ENSG00000170881
MSANTD4	11	105866350	105893130	ENSG00000170903
DNAJC24	11	31391387	31453396	ENSG00000170946
PRKCDBP	11	6340176	6341877	ENSG00000170955
PDGFD	11	103777914	104035107	ENSG00000170962
PKIA	8	79428374	79517502	ENSG00000171033
XKR6	8	10753555	11058875	ENSG00000171044
TSNARE1	8	143293441	143484601	ENSG00000171045
SOX7	8	10581278	10697357	ENSG00000171056
C11orf24	11	68028803	68039469	ENSG00000171067
CCBL1	9	131595221	131644773	ENSG00000171097
GIMAP8	7	150147718	150176480	ENSG00000171115
ATP6V0E2	7	149570057	149577784	ENSG00000171130
C9orf16	9	130922539	130926207	ENSG00000171159
MORN4	10	99374310	99393344	ENSG00000171160
NAIF1	9	130823512	130830485	ENSG00000171169
TMEM126A	11	85359011	85367591	ENSG00000171202
TMEM126B	11	85339629	85347580	ENSG00000171204
TRIM8	10	104404253	104418164	ENSG00000171206
CDC42BPG	11	64590859	64612041	ENSG00000171219
C10orf35	10	71390007	71393352	ENSG00000171224
ZDHHC16	10	99205927	99217127	ENSG00000171307
EXOSC1	10	99195899	99205774	ENSG00000171311
PGAM1	10	99185917	99193198	ENSG00000171314
CHD7	8	61591337	61779465	ENSG00000171316
ESCO2	8	27629466	27670157	ENSG00000171320
NAT1	8	18027986	18081198	ENSG00000171428
ZBTB26	9	125677845	125693779	ENSG00000171448
MAP6	11	75297963	75380165	ENSG00000171533
P2RY6	11	72975550	73009662	ENSG00000171631
ATF7IP	12	14518610	14651697	ENSG00000171681
ANO5	11	22214722	22304903	ENSG00000171714
SYCE1	10	135367404	135382876	ENSG00000171772
RHNO1	12	2985424	2998626	ENSG00000171792
UTF1	10	135043778	135045062	ENSG00000171794
KNDC1	10	134973951	135039916	ENSG00000171798
TTC40	10	134621896	134756327	ENSG00000171811
PWWP2B	10	134210672	134231367	ENSG00000171813
FBXL14	12	1675159	1703331	ENSG00000171823
NINJ2	12	673462	772945	ENSG00000171840
MLLT3	9	20341663	20622542	ENSG00000171843
FAM90A1	12	8373856	8380214	ENSG00000171847
C3AR1	12	8210898	8219067	ENSG00000171860
PTEN	10	89622870	89731687	ENSG00000171862
C11orf40	11	4592653	4599050	ENSG00000171987
JMJD1C	10	64926981	65225722	ENSG00000171988
OR52P2P	11	4452553	4453507	ENSG00000171999
FRMD3	9	85857905	86153461	ENSG00000172159
SNTB1	8	121547985	121825513	ENSG00000172164
MTBP	8	121457640	121554373	ENSG00000172167
MRPL13	8	121393000	121457642	ENSG00000172172
CLEC7A	12	10269376	10282857	ENSG00000172243
C1QTNF4	11	47611216	47616211	ENSG00000172247
DPAGT1	11	118967213	118979041	ENSG00000172269
HINFP	11	118992297	119006752	ENSG00000172273
CLEC12A	12	10103915	10148293	ENSG00000172322
PDZD3	11	119056166	119060932	ENSG00000172367
C2CD2L	11	118972908	118989252	ENSG00000172375
CLP1	11	57416465	57429340	ENSG00000172409
FIBP	11	65651212	65656010	ENSG00000172500
CARNS1	11	67182439	67193078	ENSG00000172508
PPP1CA	11	67165654	67188654	ENSG00000172531
FAM170B	10	50339199	50342053	ENSG00000172538
CTSW	11	65647280	65651212	ENSG00000172543
MUCL1	12	55224303	55252177	ENSG00000172551
PDE3A	12	20522179	20837315	ENSG00000172572
CHCHD1	10	75541805	75543410	ENSG00000172586
RND1	12	49250928	49259681	ENSG00000172602
RAD9A	11	67159176	67165881	ENSG00000172613
EFEMP2	11	65633912	65641063	ENSG00000172638
OR10AD1	12	48596081	48597170	ENSG00000172640
AGAP5	10	75434033	75457639	ENSG00000172650
FAM21C	10	46222648	46288409	ENSG00000172661
TMEM134	11	67231824	67236743	ENSG00000172663
ZFAND4	10	46111043	46168228	ENSG00000172671
CCL19	9	34689564	34691274	ENSG00000172724
CORO1B	11	67205519	67211292	ENSG00000172725
FUT10	8	33228342	33330940	ENSG00000172728
LRRC20	10	72058729	72142382	ENSG00000172731
MUS81	11	65624597	65635124	ENSG00000172732
ZNF596	8	182137	197342	ENSG00000172748
CFL1	11	65590493	65629497	ENSG00000172757
CBWD1	9	121041	188979	ENSG00000172785
HOXC5	12	54426637	54429142	ENSG00000172789
SNX32	11	65601112	65624367	ENSG00000172803
CYP7B1	8	65500320	65711318	ENSG00000172817
RARG	12	53604354	53626764	ENSG00000172819
SSH3	11	67070919	67080078	ENSG00000172830
KRT2	12	53038342	53045948	ENSG00000172867
EGFL7	9	139553308	139567130	ENSG00000172889
NADSYN1	11	71164155	71235153	ENSG00000172890
DHCR7	11	71139239	71163914	ENSG00000172893
RNASEH2C	11	65482367	65488418	ENSG00000172922
MYEOV	11	69061605	69182494	ENSG00000172927
ANKRD13D	11	67056018	67069956	ENSG00000172932
MRGPRF	11	68771863	68780877	ENSG00000172935
KAT5	11	65479467	65487075	ENSG00000172977
ADRBK1	11	67033881	67054027	ENSG00000173020
RELA	11	65421067	65430565	ENSG00000173039
BNC2	9	16409501	16870841	ENSG00000173068
TRMT112	11	64083932	64085556	ENSG00000173113
KDM2A	11	66886740	67025558	ENSG00000173120
ADCK5	8	145596790	145618457	ENSG00000173137
NOC3L	10	96075004	96122716	ENSG00000173145
ESRRA	11	64073044	64084215	ENSG00000173153
RHOD	11	66824289	66839484	ENSG00000173156
ABCD2	12	39943835	40013553	ENSG00000173208
LIPM	10	90562487	90580303	ENSG00000173239
ZNF483	9	114287439	114340124	ENSG00000173258
SLC2A14	12	7965108	8043744	ENSG00000173262
GPR137	11	64037534	64056972	ENSG00000173264
SNCG	10	88718375	88723017	ENSG00000173267
MMRN2	10	88695297	88729238	ENSG00000173269
TNKS	8	9413424	9639856	ENSG00000173273
PPP1R3B	8	8993765	9009084	ENSG00000173281
FAM86B3P	8	8086117	8102387	ENSG00000173295
MAP3K11	11	65365226	65382853	ENSG00000173327
TRIB1	8	126442563	126450647	ENSG00000173334
KCNK7	11	65360326	65363467	ENSG00000173338
OLR1	12	10310902	10324737	ENSG00000173391
SAA1	11	18287721	18291524	ENSG00000173432
EHBP1L1	11	65343509	65360121	ENSG00000173442
RNF26	11	119205237	119208023	ENSG00000173456
PPP1R14B	11	64011956	64014413	ENSG00000173457
SSSCA1	11	65337901	65341413	ENSG00000173465
FKBP2	11	64008475	64011604	ENSG00000173486
VEGFB	11	64002010	64006259	ENSG00000173511
TNFRSF10D	8	22993101	23021543	ENSG00000173530
TNFRSF10C	8	22941868	22974950	ENSG00000173535
NUDT18	8	21964383	21966932	ENSG00000173566
PC	11	66615704	66725847	ENSG00000173599
SCAI	9	127704887	127905785	ENSG00000173611
LRFN4	11	66624118	66627946	ENSG00000173621
RCE1	11	66610306	66614017	ENSG00000173653
C11orf80	11	66511922	66610987	ENSG00000173715
	11	65222728	65234028	ENSG00000173727
TIGD3	11	65122238	65125084	ENSG00000173825
NET1	10	5454514	5500426	ENSG00000173848
TUBB8	10	92828	120103	ENSG00000173876
SPTBN2	11	66452719	66496697	ENSG00000173898
RBM4B	11	66432469	66445392	ENSG00000173914
USMG5	10	105148798	105156223	ENSG00000173915
RBM4	11	66384097	66434153	ENSG00000173933
CCS	11	66360292	66373490	ENSG00000173992
C9orf131	9	35041092	35045988	ENSG00000174038
CTSF	11	66330934	66336312	ENSG00000174080
ZDHHC24	11	66288108	66313709	ENSG00000174165
AGAP8	10	51224681	51371321	ENSG00000174194
FAM21D	10	51187938	51192032	ENSG00000174196
ADCY6	12	49159975	49182820	ENSG00000174233
DDX23	12	49223547	49246625	ENSG00000174243
ZNHIT2	11	64883875	64885170	ENSG00000174276
C11orf45	11	128769460	128775930	ENSG00000174370
CNTNAP2	7	145813453	148118090	ENSG00000174469
LINGO2	9	27948076	28670283	ENSG00000174482
BBS1	11	66278077	66301098	ENSG00000174483
PELI3	11	66234216	66244808	ENSG00000174516
MRPL11	11	66202546	66234209	ENSG00000174547
SLC29A2	11	66129992	66139685	ENSG00000174669
BRSK2	11	1411129	1483919	ENSG00000174672
B3GNT1	11	66112843	66115163	ENSG00000174684
KIAA1551	12	32112304	32146039	ENSG00000174718
FGFBP3	10	93666346	93669240	ENSG00000174721
BRMS1	11	66104804	66112596	ENSG00000174744
HRAS	11	532242	537287	ENSG00000174775
RIN1	11	66097713	66104311	ENSG00000174791
FZD4	11	86656721	86666433	ENSG00000174804
CD248	11	66081958	66084515	ENSG00000174807
YIF1A	11	66052051	66056641	ENSG00000174851
CNIH2	11	66045661	66052772	ENSG00000174871
NLRP6	11	278365	285359	ENSG00000174885
RAB1B	11	66036004	66044963	ENSG00000174903
PTDSS2	11	448268	491393	ENSG00000174915
KLC2	11	66024765	66035331	ENSG00000174996
CTBP2	10	126676421	126849739	ENSG00000175029
VCPIP1	8	67540722	67579452	ENSG00000175073
TRAF6	11	36508577	36531822	ENSG00000175104
PACS1	11	65837834	66012218	ENSG00000175115
ABO	9	136125788	136150617	ENSG00000175164
DDIT3	12	57910371	57914300	ENSG00000175197
DCTN2	12	57923885	57941114	ENSG00000175203
ZNF408	11	46722368	46727462	ENSG00000175213
CTDSP2	12	58213710	58240522	ENSG00000175215
CKAP5	11	46764598	46867847	ENSG00000175216
ARHGAP1	11	46698630	46722165	ENSG00000175220
ATG13	11	46638826	46696368	ENSG00000175224
CHST1	11	45670427	45687172	ENSG00000175264
TP53I11	11	44907454	44972840	ENSG00000175274
DOLK	9	131707809	131709898	ENSG00000175283
PHYHD1	9	131683174	131704320	ENSG00000175287
CATSPER1	11	65784223	65793988	ENSG00000175294
CCNE2	8	95891998	95908906	ENSG00000175305
CST6	11	65779312	65780976	ENSG00000175315
LSM1	8	38020839	38034248	ENSG00000175324
BANF1	11	65769550	65771620	ENSG00000175334
TMEM9B	11	8968841	8986558	ENSG00000175348
NRIP3	11	9002123	9025596	ENSG00000175352
SCUBE2	11	9041071	9159661	ENSG00000175356
EIF1AD	11	65764016	65769647	ENSG00000175376
EIF3F	11	7991798	8023409	ENSG00000175390
ZNF25	10	38238500	38265561	ENSG00000175395
LPL	8	19759228	19824769	ENSG00000175445
TBC1D10C	11	67171386	67177560	ENSG00000175463
SART1	11	65729160	65747299	ENSG00000175467
PPP2R2D	10	133747955	133773331	ENSG00000175470
POLD4	11	67118248	67124443	ENSG00000175482
OR52W1	11	6220376	6221489	ENSG00000175485
CLCF1	11	67131639	67141648	ENSG00000175505
TSGA10IP	11	65712916	65727434	ENSG00000175513
GPR152	11	67218772	67220200	ENSG00000175514
UBQLNL	11	5535623	5537935	ENSG00000175518
UBQLN3	11	5528530	5531215	ENSG00000175520
PNLIP	10	118305443	118327367	ENSG00000175535
LIPT2	11	74202757	74204778	ENSG00000175536
KCNE3	11	74165886	74178774	ENSG00000175538
CABP4	11	67219877	67226699	ENSG00000175544
ALG10B	12	38710380	38717784	ENSG00000175548
DRAP1	11	65686728	65689032	ENSG00000175550
UCP3	11	73711326	73720480	ENSG00000175564
UCP2	11	73685712	73694352	ENSG00000175567
C11orf68	11	65684279	65686588	ENSG00000175573
PAAF1	11	73587744	73638790	ENSG00000175575
MRPL48	11	73498361	73576178	ENSG00000175581
RAB6A	11	73386683	73472182	ENSG00000175582
P2RY2	11	72929343	72947397	ENSG00000175591
FOSL1	11	65659520	65668044	ENSG00000175592
CCDC85B	11	65657875	65659105	ENSG00000175602
TMEM70	8	74884672	74895018	ENSG00000175606
LINC00476	9	98521513	98638259	ENSG00000175611
RPS6KB2	11	67195931	67202872	ENSG00000175634
TTLL11	9	124584207	124855885	ENSG00000175764
TOMM5	9	37582643	37592639	ENSG00000175768
	11	130184888	130263688	ENSG00000175773
ZNF169	9	97021593	97063736	ENSG00000175787
OR52B3P	11	4399512	4400457	ENSG00000175800
MSRA	8	9911778	10286401	ENSG00000175806
SWI5	9	131037658	131051269	ENSG00000175854
ZDHHC21	9	14611069	14693469	ENSG00000175893
PLEKHF2	8	96146032	96168912	ENSG00000175895
A2M	12	9220260	9268825	ENSG00000175899
TPRN	9	140086069	140098645	ENSG00000176058
SSNA1	9	140083099	140084822	ENSG00000176101
CSTF3	11	33098734	33183917	ENSG00000176102
TCP11L1	11	33060963	33127489	ENSG00000176148
BNIP3	10	133781578	133795435	ENSG00000176171
SMIM19	8	42396298	42409603	ENSG00000176209
OR51B6	11	5372738	5373676	ENSG00000176239
ACBD7	10	15119522	15130775	ENSG00000176244
ANAPC2	9	140069236	140082989	ENSG00000176248
SLC35G1	10	95653730	95715819	ENSG00000176273
COX8A	11	63742079	63744015	ENSG00000176340
CDC26	9	116018115	116037869	ENSG00000176386
SPRYD4	12	56862301	56864763	ENSG00000176422
PLA2G16	11	63340667	63384355	ENSG00000176485
KBTBD11	8	1922044	1955102	ENSG00000176595
RMDN1	8	87480486	87526586	ENSG00000176623
C8orf59	8	86126311	86132650	ENSG00000176731
OR52Z1	11	5198944	5199891	ENSG00000176748
FAM91A1	8	124780696	124827692	ENSG00000176853
GRIN1	9	140032842	140063207	ENSG00000176884
OR51G2	11	4935900	4936922	ENSG00000176893
OR51A7	11	4928600	4929538	ENSG00000176895
C8orf4	8	40010989	40012821	ENSG00000176907
C8G	9	139839698	139841426	ENSG00000176919
FIBIN	11	27015628	27018630	ENSG00000176971
FAM89B	11	65339820	65341669	ENSG00000176973
DPP7	9	140004994	140009629	ENSG00000176978
SEC24C	10	75504120	75531919	ENSG00000176986
DEAF1	11	644233	706715	ENSG00000177030
TMEM80	11	695428	705028	ENSG00000177042
ZDHHC13	11	19138646	19197969	ENSG00000177054
ACER2	9	19408925	19452018	ENSG00000177076
SCN4B	11	118004092	118023603	ENSG00000177098
DSCAML1	11	117298489	117688240	ENSG00000177103
RHOG	11	3848208	3862213	ENSG00000177105
EPS8L2	11	694438	727727	ENSG00000177106
MRVI1-AS1	11	10562819	10621479	ENSG00000177112
ANO6	12	45609770	45834187	ENSG00000177119
ZBTB34	9	129622944	129648157	ENSG00000177125
TALDO1	11	747329	765024	ENSG00000177156
PDDC1	11	767220	777488	ENSG00000177225
	11	780117	780755	ENSG00000177236
MAN1B1	9	139981379	140003635	ENSG00000177239
FZD8	10	35927177	35930362	ENSG00000177283
C8orf31	8	144120626	144141359	ENSG00000177335
	12	31477250	31478879	ENSG00000177340
	12	31264586	31359088	ENSG00000177359
	12	740057	772872	ENSG00000177406
SLC25A22	11	790475	798316	ENSG00000177542
SAMD12	8	119201698	119634234	ENSG00000177570
CD163	12	7623409	7656489	ENSG00000177575
OR7E149P	12	8589999	8591021	ENSG00000177586
	7	150443981	150444816	ENSG00000177590
PIDD	11	799179	809753	ENSG00000177595
RPLP2	11	809647	812880	ENSG00000177600
CSTF2T	10	53455247	53459355	ENSG00000177613
PNPLA2	11	818902	825573	ENSG00000177666
MBOAT4	8	29989340	30002202	ENSG00000177669
CD163L1	12	7499281	7632493	ENSG00000177675
EFCAB4A	11	826144	831991	ENSG00000177685
CD151	11	832843	839831	ENSG00000177697
POLR2L	11	837356	842545	ENSG00000177700
SLC35G5	8	11188397	11189717	ENSG00000177710
MYOZ1	10	75391412	75401515	ENSG00000177791
CHID1	11	867357	915058	ENSG00000177830
ZNF518A	10	97889472	97965044	ENSG00000177853
C12orf68	12	48577366	48579709	ENSG00000177875
MAMDC4	9	139745395	139755249	ENSG00000177943
ODF3	11	196738	200261	ENSG00000177947
BET1L	11	167784	207428	ENSG00000177951
RIC8A	11	207511	215113	ENSG00000177963
ASB8	12	48541571	48574996	ENSG00000177981
DDX10	11	108535752	108811657	ENSG00000178105
KDELC2	11	108342832	108369159	ENSG00000178202
PLEC	8	144989321	145050902	ENSG00000178209
SH2D4B	10	82297658	82406316	ENSG00000178217
GALNT11	7	151722759	151819425	ENSG00000178234
AQP11	11	77300436	77321400	ENSG00000178301
CALML3	10	5566924	5568225	ENSG00000178363
CALML5	10	5540658	5541533	ENSG00000178372
RPS3AP5	10	86320199	86321019	ENSG00000178429
LINC00843	10	51732523	51741813	ENSG00000178440
GLDC	9	6532464	6645650	ENSG00000178445
COX14	12	50505762	50514240	ENSG00000178449
MCMDC2	8	67782984	67834283	ENSG00000178460
DTX3	12	57998405	58003587	ENSG00000178498
CA8	8	61099906	61193971	ENSG00000178538
PARP10	8	145051321	145086940	ENSG00000178685
GRINA	8	145064226	145067583	ENSG00000178719
GLULP4	9	34917172	34918293	ENSG00000178723
ZHX2	8	123793633	123986750	ENSG00000178764
OPLAH	8	145106167	145118735	ENSG00000178814
MSC	8	72753784	72756703	ENSG00000178860
APOLD1	12	12878851	12982909	ENSG00000178878
EXOSC4	8	145133529	145135550	ENSG00000178896
RMI1	9	86595626	86618985	ENSG00000178966
	11	66963391	66964638	ENSG00000179038
RRS1	8	67341263	67342966	ENSG00000179041
IGSF22	11	18725852	18747777	ENSG00000179057
C9orf106	9	132083295	132087184	ENSG00000179082
CYC1	8	145149930	145152428	ENSG00000179091
SPTY2D1	11	18627948	18656338	ENSG00000179119
GIMAP7	7	150211918	150218161	ENSG00000179144
	11	76092357	76125663	ENSG00000179240
LDLRAD3	11	35965531	36253686	ENSG00000179241
CTGLF12P	10	49217898	49239729	ENSG00000179296
RAB39A	11	107799229	107834208	ENSG00000179331
EGR3	8	22545172	22550815	ENSG00000179388
SHARPIN	8	145153536	145163027	ENSG00000179526
DNHD1	11	6518490	6614988	ENSG00000179532
MAF1	8	145159402	145162514	ENSG00000179632
KIAA1875	8	145162629	145173218	ENSG00000179698
PCED1B	12	47473386	47630443	ENSG00000179715
MROH1	8	145202919	145316843	ENSG00000179832
TIGD5	8	144680074	144682485	ENSG00000179886
PHC1P1	12	55804263	55808633	ENSG00000179899
R3HDM2	12	57643392	57824788	ENSG00000179912
PUF60	8	144898514	144912029	ENSG00000179950
PSTK	10	124713897	124757029	ENSG00000179988
C10orf91	10	134257831	134262912	ENSG00000180066
ANKRD18A	9	38540566	38620657	ENSG00000180071
ACTA2-AS1	10	90692400	90700368	ENSG00000180139
LYNX1	8	143845752	143859640	ENSG00000180155
TDRP	8	439803	495781	ENSG00000180190
F2	11	46740730	46761056	ENSG00000180210
HARBI1	11	46624411	46639459	ENSG00000180423
C11orf71	11	114262165	114271139	ENSG00000180425
GAS1	9	89559279	89562104	ENSG00000180447
C9orf139	9	139921916	139931234	ENSG00000180539
TSPYL5	8	98285717	98290176	ENSG00000180543
FUT7	9	139924626	139927462	ENSG00000180549
	12	10658201	10675734	ENSG00000180574
PCGF5	10	92979908	93044088	ENSG00000180628
PRF1	10	72357104	72362531	ENSG00000180644
TMEM64	8	91634223	91803860	ENSG00000180694
CHRM4	11	46406640	46408107	ENSG00000180720
PIPSL	10	95717948	95721297	ENSG00000180764
SRSF8	11	94800056	94804388	ENSG00000180771
SLC36A4	11	92877341	92931130	ENSG00000180773
OR51E1	11	4664650	4676718	ENSG00000180785
PPA1	10	71962586	71993667	ENSG00000180817
